lab_trial_id,lab_subject_id,trial_order,trial_id,trial_type_aux_data,trial_aux_data,excluded,exclusion_reason,trial_type_id
star_calib (1),jmuCDL_Pilot1,0,0,calib check,fam1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,0,0,calib check,fam2,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,0,0,calib check,fam3,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,0,0,calib check,fam4,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,0,0,calib check,test1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,0,0,calib check,test2,FALSE,NA,NA
FAM_LR,jmuCDL_Pilot1,1,1,fam1,fam1,FALSE,NA,33
FAM_LR,jmuCDL_Pilot1,1,1,fam1,fam2,FALSE,NA,33
FAM_LR,jmuCDL_Pilot1,1,1,fam1,fam3,FALSE,NA,33
FAM_LR,jmuCDL_Pilot1,1,1,fam1,fam4,FALSE,NA,33
FAM_LR,jmuCDL_Pilot1,1,1,fam1,test1,FALSE,NA,33
FAM_LR,jmuCDL_Pilot1,1,1,fam1,test2,FALSE,NA,33
FAM_LL,jmuCDL_Pilot1,2,2,fam2,fam1,FALSE,NA,32
FAM_LL,jmuCDL_Pilot1,2,2,fam2,fam2,FALSE,NA,32
FAM_LL,jmuCDL_Pilot1,2,2,fam2,fam3,FALSE,NA,32
FAM_LL,jmuCDL_Pilot1,2,2,fam2,fam4,FALSE,NA,32
FAM_LL,jmuCDL_Pilot1,2,2,fam2,test1,FALSE,NA,32
FAM_LL,jmuCDL_Pilot1,2,2,fam2,test2,FALSE,NA,32
FAM_RL,jmuCDL_Pilot1,3,3,fam3,fam1,FALSE,NA,34
FAM_RL,jmuCDL_Pilot1,3,3,fam3,fam2,FALSE,NA,34
FAM_RL,jmuCDL_Pilot1,3,3,fam3,fam3,FALSE,NA,34
FAM_RL,jmuCDL_Pilot1,3,3,fam3,fam4,FALSE,NA,34
FAM_RL,jmuCDL_Pilot1,3,3,fam3,test1,FALSE,NA,34
FAM_RL,jmuCDL_Pilot1,3,3,fam3,test2,FALSE,NA,34
FAM_RR,jmuCDL_Pilot1,4,4,fam4,fam1,FALSE,NA,35
FAM_RR,jmuCDL_Pilot1,4,4,fam4,fam2,FALSE,NA,35
FAM_RR,jmuCDL_Pilot1,4,4,fam4,fam3,FALSE,NA,35
FAM_RR,jmuCDL_Pilot1,4,4,fam4,fam4,FALSE,NA,35
FAM_RR,jmuCDL_Pilot1,4,4,fam4,test1,FALSE,NA,35
FAM_RR,jmuCDL_Pilot1,4,4,fam4,test2,FALSE,NA,35
KNOW_RR,jmuCDL_Pilot1,5,5,test1,fam1,FALSE,NA,7
KNOW_RR,jmuCDL_Pilot1,5,5,test1,fam2,FALSE,NA,7
KNOW_RR,jmuCDL_Pilot1,5,5,test1,fam3,FALSE,NA,7
KNOW_RR,jmuCDL_Pilot1,5,5,test1,fam4,FALSE,NA,7
KNOW_RR,jmuCDL_Pilot1,5,5,test1,test1,FALSE,NA,7
KNOW_RR,jmuCDL_Pilot1,5,5,test1,test2,FALSE,NA,7
IG_RR_ExitRight_INC,jmuCDL_Pilot1,6,6,test2,fam1,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot1,6,6,test2,fam2,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot1,6,6,test2,fam3,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot1,6,6,test2,fam4,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot1,6,6,test2,test1,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot1,6,6,test2,test2,FALSE,NA,22
star_calib (1),jmuCDL_Pilot1,7,7,calib check,fam1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,7,7,calib check,fam2,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,7,7,calib check,fam3,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,7,7,calib check,fam4,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,7,7,calib check,test1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot1,7,7,calib check,test2,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,0,8,calib check,fam1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,0,8,calib check,fam2,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,0,8,calib check,fam3,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,0,8,calib check,fam4,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,0,8,calib check,test1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,0,8,calib check,test2,FALSE,NA,NA
FAM_RL,jmuCDL_Pilot2,1,9,fam1,fam1,FALSE,NA,34
FAM_RL,jmuCDL_Pilot2,1,9,fam1,fam2,FALSE,NA,34
FAM_RL,jmuCDL_Pilot2,1,9,fam1,fam3,FALSE,NA,34
FAM_RL,jmuCDL_Pilot2,1,9,fam1,fam4,FALSE,NA,34
FAM_RL,jmuCDL_Pilot2,1,9,fam1,test1,FALSE,NA,34
FAM_RL,jmuCDL_Pilot2,1,9,fam1,test2,FALSE,NA,34
FAM_RR,jmuCDL_Pilot2,2,10,fam2,fam1,FALSE,NA,35
FAM_RR,jmuCDL_Pilot2,2,10,fam2,fam2,FALSE,NA,35
FAM_RR,jmuCDL_Pilot2,2,10,fam2,fam3,FALSE,NA,35
FAM_RR,jmuCDL_Pilot2,2,10,fam2,fam4,FALSE,NA,35
FAM_RR,jmuCDL_Pilot2,2,10,fam2,test1,FALSE,NA,35
FAM_RR,jmuCDL_Pilot2,2,10,fam2,test2,FALSE,NA,35
FAM_LR,jmuCDL_Pilot2,3,11,fam3,fam1,FALSE,NA,33
FAM_LR,jmuCDL_Pilot2,3,11,fam3,fam2,FALSE,NA,33
FAM_LR,jmuCDL_Pilot2,3,11,fam3,fam3,FALSE,NA,33
FAM_LR,jmuCDL_Pilot2,3,11,fam3,fam4,FALSE,NA,33
FAM_LR,jmuCDL_Pilot2,3,11,fam3,test1,FALSE,NA,33
FAM_LR,jmuCDL_Pilot2,3,11,fam3,test2,FALSE,NA,33
FAM_LL,jmuCDL_Pilot2,4,12,fam4,fam1,FALSE,NA,32
FAM_LL,jmuCDL_Pilot2,4,12,fam4,fam2,FALSE,NA,32
FAM_LL,jmuCDL_Pilot2,4,12,fam4,fam3,FALSE,NA,32
FAM_LL,jmuCDL_Pilot2,4,12,fam4,fam4,FALSE,NA,32
FAM_LL,jmuCDL_Pilot2,4,12,fam4,test1,FALSE,NA,32
FAM_LL,jmuCDL_Pilot2,4,12,fam4,test2,FALSE,NA,32
KNOW_RL,jmuCDL_Pilot2,5,13,test1,fam1,FALSE,NA,6
KNOW_RL,jmuCDL_Pilot2,5,13,test1,fam2,FALSE,NA,6
KNOW_RL,jmuCDL_Pilot2,5,13,test1,fam3,FALSE,NA,6
KNOW_RL,jmuCDL_Pilot2,5,13,test1,fam4,FALSE,NA,6
KNOW_RL,jmuCDL_Pilot2,5,13,test1,test1,FALSE,NA,6
KNOW_RL,jmuCDL_Pilot2,5,13,test1,test2,FALSE,NA,6
IG_RR_ExitRight_INC,jmuCDL_Pilot2,6,14,test2,fam1,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot2,6,14,test2,fam2,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot2,6,14,test2,fam3,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot2,6,14,test2,fam4,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot2,6,14,test2,test1,FALSE,NA,22
IG_RR_ExitRight_INC,jmuCDL_Pilot2,6,14,test2,test2,FALSE,NA,22
star_calib (1),jmuCDL_Pilot2,7,15,calib check,fam1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,7,15,calib check,fam2,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,7,15,calib check,fam3,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,7,15,calib check,fam4,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,7,15,calib check,test1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot2,7,15,calib check,test2,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,0,16,calib check,fam1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,0,16,calib check,fam2,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,0,16,calib check,fam3,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,0,16,calib check,fam4,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,0,16,calib check,test1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,0,16,calib check,test2,FALSE,NA,NA
FAM_RL,jmuCDL_Pilot3,1,17,fam1,fam1,FALSE,NA,34
FAM_RL,jmuCDL_Pilot3,1,17,fam1,fam2,FALSE,NA,34
FAM_RL,jmuCDL_Pilot3,1,17,fam1,fam3,FALSE,NA,34
FAM_RL,jmuCDL_Pilot3,1,17,fam1,fam4,FALSE,NA,34
FAM_RL,jmuCDL_Pilot3,1,17,fam1,test1,FALSE,NA,34
FAM_RL,jmuCDL_Pilot3,1,17,fam1,test2,FALSE,NA,34
FAM_RR,jmuCDL_Pilot3,2,18,fam2,fam1,FALSE,NA,35
FAM_RR,jmuCDL_Pilot3,2,18,fam2,fam2,FALSE,NA,35
FAM_RR,jmuCDL_Pilot3,2,18,fam2,fam3,FALSE,NA,35
FAM_RR,jmuCDL_Pilot3,2,18,fam2,fam4,FALSE,NA,35
FAM_RR,jmuCDL_Pilot3,2,18,fam2,test1,FALSE,NA,35
FAM_RR,jmuCDL_Pilot3,2,18,fam2,test2,FALSE,NA,35
FAM_LR,jmuCDL_Pilot3,3,19,fam3,fam1,FALSE,NA,33
FAM_LR,jmuCDL_Pilot3,3,19,fam3,fam2,FALSE,NA,33
FAM_LR,jmuCDL_Pilot3,3,19,fam3,fam3,FALSE,NA,33
FAM_LR,jmuCDL_Pilot3,3,19,fam3,fam4,FALSE,NA,33
FAM_LR,jmuCDL_Pilot3,3,19,fam3,test1,FALSE,NA,33
FAM_LR,jmuCDL_Pilot3,3,19,fam3,test2,FALSE,NA,33
FAM_LL,jmuCDL_Pilot3,4,20,fam4,fam1,FALSE,NA,32
FAM_LL,jmuCDL_Pilot3,4,20,fam4,fam2,FALSE,NA,32
FAM_LL,jmuCDL_Pilot3,4,20,fam4,fam3,FALSE,NA,32
FAM_LL,jmuCDL_Pilot3,4,20,fam4,fam4,FALSE,NA,32
FAM_LL,jmuCDL_Pilot3,4,20,fam4,test1,FALSE,NA,32
FAM_LL,jmuCDL_Pilot3,4,20,fam4,test2,FALSE,NA,32
KNOW_LR,jmuCDL_Pilot3,5,21,test1,fam1,FALSE,NA,5
KNOW_LR,jmuCDL_Pilot3,5,21,test1,fam2,FALSE,NA,5
KNOW_LR,jmuCDL_Pilot3,5,21,test1,fam3,FALSE,NA,5
KNOW_LR,jmuCDL_Pilot3,5,21,test1,fam4,FALSE,NA,5
KNOW_LR,jmuCDL_Pilot3,5,21,test1,test1,FALSE,NA,5
KNOW_LR,jmuCDL_Pilot3,5,21,test1,test2,FALSE,NA,5
IG_RR_ExitLeft_CON,jmuCDL_Pilot3,6,22,test2,fam1,FALSE,NA,21
IG_RR_ExitLeft_CON,jmuCDL_Pilot3,6,22,test2,fam2,FALSE,NA,21
IG_RR_ExitLeft_CON,jmuCDL_Pilot3,6,22,test2,fam3,FALSE,NA,21
IG_RR_ExitLeft_CON,jmuCDL_Pilot3,6,22,test2,fam4,FALSE,NA,21
IG_RR_ExitLeft_CON,jmuCDL_Pilot3,6,22,test2,test1,FALSE,NA,21
IG_RR_ExitLeft_CON,jmuCDL_Pilot3,6,22,test2,test2,FALSE,NA,21
star_calib (1),jmuCDL_Pilot3,7,23,calib check,fam1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,7,23,calib check,fam2,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,7,23,calib check,fam3,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,7,23,calib check,fam4,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,7,23,calib check,test1,FALSE,NA,NA
star_calib (1),jmuCDL_Pilot3,7,23,calib check,test2,FALSE,NA,NA
