age_cohort,lab_id,participant_id
adults,babylabBrookes,OBB_007
adults,babylabBrookes,OBB_013
adults,babylabNijmegen,RU_004
adults,babylabNijmegen,RU_005
adults,babylabNijmegen,RU_006
adults,babylabUmassb,UMB006
adults,beinghumanWroclaw,ADULT_001
adults,beinghumanWroclaw,ADULT_003
adults,kidsdevUniofNewcastle,uon017
adults,kidsdevUniofNewcastle,uon018
adults,MiniDundee,DUN_113
adults,affcogUTSC,UTSC_014
adults,affcogUTSC,UTSC_020
adults,affcogUTSC,UTSC_029
adults,affcogUTSC,UTSC_032
adults,babylabINCC,BLI_314
adults,babylabINCC,BLI_456
adults,babyLeidenEdu,LUMB2_PilotA01
adults,babyLeidenEdu,LUMB2_PilotA02
adults,babyLeidenEdu,LUMB2_PilotA03
adults,babyLeidenEdu,LUMB2_PilotA04
adults,babyLeidenEdu,LUMB2_A05
adults,gaugGöttingen,GAUG_124
adults,gaugGöttingen,GAUG_130
adults,labUNAM,UNAM_017
adults,labUNAM,UNAM_018
adults,labUNAM,UNAM_019
adults,labUNAM,UNAM_020
adults,PKUSu,PKU_108
adults,PKUSu,PKU_110
adults,PKUSu,PKU_123
adults,PKUSu,PKU_132
adults,socialcogUmiami,UMIA001
adults,socialcogUmiami,UMIA002
adults,socialcogUmiami,UMIA003
adults,WSUMARCS,MARCS_44
adults,WSUMARCS,MARCS_45
toddlers,babylabAmsterdam,UVA_012
toddlers,babylabAmsterdam,UVA_114
toddlers,babylabAmsterdam,UVA_122
toddlers,babylabINCC,BLI_217
toddlers,beinghumanWroclaw,BABY_001
toddlers,beinghumanWroclaw,BABY_002
toddlers,beinghumanWroclaw,BABY_003
toddlers,beinghumanWroclaw,BABY_006
toddlers,beinghumanWroclaw,BABY_024
toddlers,beinghumanWroclaw,BABY_025
toddlers,beinghumanWroclaw,BABY_026
toddlers,CogConcordia,Child24
toddlers,kidsdevUniofNewcastle,uon001
toddlers,kokuHamburg,UHH_002
toddlers,lmuMunich,LMU_729
toddlers,lmuMunich,LMU_676
toddlers,lmuMunich,LMU_186
toddlers,mecdmpihcbs,MPI_009
toddlers,mecdmpihcbs,MPI_026
toddlers,mecdmpihcbs,MPI_027
toddlers,mpievaCCP,MPI_002
toddlers,mpievaCCP,MPI_003
toddlers,mpievaCCP,MPI_004
toddlers,PKUSu,PKU_227
toddlers,PKUSu,PKU_233
toddlers,PKUSu,PKU_235
toddlers,PKUSu,PKU_244
toddlers,PKUSu,PKU_247
toddlers,PKUSu,PKU_250
toddlers,PKUSu,PKU_267
toddlers,PKUSu,PKU_270
toddlers,saxelab,MIT_101
toddlers,saxelab,MIT_102
toddlers,saxelab,MIT_103
toddlers,saxelab,MIT_104
toddlers,saxelab,MIT_105
toddlers,saxelab,MIT_305
toddlers,saxelab,MIT_306
toddlers,saxelab,MIT_314
toddlers,saxelab,MIT_331
toddlers,socallabUCSD,participant2
toddlers,socallabUCSD,participant8
toddlers,socallabUCSD,participant11
toddlers,socallabUCSD,participant20
toddlers,socallabUCSD,participant21
toddlers,socallabUCSD,participant22
toddlers,socallabUCSD,participant23
toddlers,socallabUCSD,participant25
toddlers,socallabUCSD,participant26
toddlers,socallabUCSD,participant28
toddlers,socallabUCSD,participant33
toddlers,socallabUCSD,participant34
toddlers,socallabUCSD,participant35
toddlers,socallabUCSD,participant38
toddlers,socallabUCSD,participant44
toddlers,socallabUCSD,participant45
toddlers,socallabUCSD,participant49
toddlers,socallabUCSD,participant50
toddlers,gertlabLancaster,LU_3955
