subject_id,age,sex,lab_subject_id,error,dataset_id
0,717,male,mb2001,TRUE,5
1,776,female,mb2_p2,FALSE,5
2,678,male,mb2_p3,FALSE,5
3,783,female,mb2_p4,FALSE,5
4,788,female,mb2_p5,FALSE,5
5,686,male,mb2_p6,FALSE,5
6,781,male,mb2_p7,FALSE,5
7,777,male,mb2_p8,TRUE,5
8,772,female,mb2_p9,FALSE,5
9,774,male,mb2_p10,FALSE,5
10,760,male,mb2_p11,FALSE,5
11,737,female,mb2_p12,FALSE,5
12,749,female,mb2_p13,FALSE,5
13,670,female,mb2_p14,TRUE,5
14,728,male,mb2_p15,FALSE,5
15,784,male,mb2_p16,FALSE,5
16,718,female,mb2_p17,FALSE,5
